"", "Provincia","Estadillo","Sp","RGR","B_IFN2","B_IFN3","BP","AB3_Mgha_perc","geometry1","geometry2"
"127","Granada","1216","Pinus pinaster",36.5179861432534,17.6488173072181,28.383942156365,0.894593737428909,100,c(-3.53913528134027, 37.0084896962116)
"128","Granada","1219","Pinus sylvestris",63.9281683016506,30.5714389852414,65.2518538982882,2.89003457608723,100,c(-3.21463025209016, 37.1635020839072)
"129","Granada","1220","Pinus sylvestris",24.5462202258295,76.7028023914713,102.284251756361,2.13178744707413,63.9325820957679,c(-3.203163654671, 37.1632248287437)
"130","Granada","1223","Pinus nigra",82.86629690063,6.7030893817017,18.126756316769,0.95197224458894,73.0024280912282,c(-3.20316239534203, 37.1543368569434)
"131","Granada","1228","Pinus sylvestris",79.8050504579164,35.1488999694519,95.8063277380263,5.0547856473812,100,c(-3.21429743378708, 37.1453481331995)
"132","Granada","1229","Pinus pinaster",31.532901861069,55.9192020009637,80.5165106872446,2.04977572385674,64.5502625779127,c(-3.19151809566358, 37.1455493839934)
"133","Granada","1236","Pinus sylvestris",39.94606379518,71.8811486400886,117.261351977187,3.78168361142482,78.2565281595221,c(-3.20294505486075, 37.13621870144)
"134","Granada","1237","Pinus sylvestris",40.4453959951755,52.6069759879614,88.537822741735,2.99423722948113,62.0406495936075,c(-3.19088468741998, 37.1354635136958)
"135","Granada","1238","Pinus sylvestris",90.9920037922625,2.85092972024519,8.49560698175697,0.470389771792649,100,c(-3.439768656543, 37.1266436517475)
"136","Granada","1244","Pinus pinaster",21.2570488318331,97.0421159865099,126.344596795384,2.44187340073953,98.1649591617686,c(-3.51881390924656, 37.117607398098)
"137","Granada","1245","Pinus pinaster",43.1502168563588,5.64535384627843,9.42112935305981,0.314647958898449,100,c(-3.50743348400505, 37.1175484827367)
"138","Granada","1247","Quercus ilex",25.1906389619969,32.8519633305198,47.8237071755828,1.24764532042192,100,c(-3.48490816092778, 37.1172911988958)
"139","Granada","1249","Pinus pinaster",74.6686963713006,36.6043259013246,88.474642264204,4.32252636357328,95.663906457788,c(-3.46210488837181, 37.1175805827449)
"140","Granada","1252","Quercus pyrenaica",11.7450437224493,165.459876049274,194.217865794812,2.39649914546149,100,c(-3.34872260892358, 37.1180133621531)
"141","Granada","1253","Quercus ilex",13.2258852842742,95.6051055141766,111.364552724686,1.31328726754249,72.7488480207314,c(-3.33778378754842, 37.1185408133304)
"142","Granada","1254","Pinus sylvestris",66.3385468333713,2.68963730437376,5.96237514191488,0.272728153128426,100,c(-3.19198885268092, 37.1179470954962)
"143","Granada","1260","Pinus sylvestris",54.8232499425177,22.5261893515608,42.9024552580889,1.69802215887735,69.930279647188,c(-3.50709374525182, 37.100359920209)
"144","Granada","1263","Quercus pyrenaica",41.1770523928052,3.89955156054875,6.39160998675668,0.207671535517327,100,c(-3.43941270891905, 37.1001162273181)
"145","Granada","1268","Pinus pinaster",47.2512592071583,6.17697547652926,10.8594275385111,0.39020433849849,100,c(-3.51921571605846, 37.0907253860643)
"146","Granada","1269","Pinus pinaster",18.5235803504265,48.0614064997881,56.132591439208,0.672598744951658,100,c(-3.5073313540185, 37.0904252695251)
"147","Granada","1270","Pinus pinaster",28.5705115254632,60.8322294679915,73.3337687721523,1.78593418630869,100,c(-3.49551728265537, 37.090538321098)
"148","Granada","1271","Pinus pinaster",42.7634964432553,18.6562900417749,28.3936480255575,0.811446498648549,100,c(-3.48498588474788, 37.0906449571126)
"149","Granada","1272","Pinus pinaster",31.7201804222533,61.5184335633891,83.0726249329377,1.79618261412905,100,c(-3.47297881319537, 37.0904951405647)
"150","Granada","1276","Pinus sylvestris",45.7697264486337,6.12379041049945,8.42926901012835,0.329354085661272,100,c(-3.47308971829103, 37.081183014741)
"151","Granada","1279","Pinus pinaster",93.6414379775382,13.88370993552,39.6278216747129,2.14534264493274,100,c(-3.5070405359631, 37.0636542944797)
"152","Granada","1280","Pinus nigra",46.1947177951414,50.4909299077707,87.7317815776862,3.10340430582629,68.6310461955643,c(-3.49625705745021, 37.0642046949475)
"153","Granada","1288","Pinus pinaster",20.9799006455315,14.3802318738828,18.1827822386619,0.316879197064924,100,c(-3.51798047740424, 37.026567437245)
"154","Granada","1289","Pinus sylvestris",50.2949789942681,63.7912384111041,114.197993521233,4.20056292584411,100,c(-3.23559999292243, 37.0283204237998)
"155","Granada","1290","Pinus sylvestris",105.679495790273,1.72784451381452,6.14125203204494,0.367783959852535,100,c(-3.21493364069851, 37.0277917501924)
"156","Granada","1298","Quercus ilex",38.767964332814,39.5568264832848,62.2891482498806,1.89436014721631,100,c(-3.48359551044736, 37.0081070038686)
"157","Granada","1302","Pinus pinaster",41.2683337056522,19.6860239014242,32.251100303106,1.04708970014015,100,c(-3.15830265523609, 37.1631580316168)
"158","Granada","1305","Pinus pinaster",67.5859387144776,8.16418479079467,18.3466022764538,0.848534790471593,100,c(-3.09083663589429, 37.1630216214344)
"159","Granada","1306","Pinus pinaster",30.596305107669,44.6541999944592,64.4151809179201,1.6467484102884,100,c(-3.05779107761088, 37.1633848820989)
"160","Granada","1307","Quercus ilex",55.9929414288284,7.60095909744323,14.8800431073632,0.606590334159998,88.0552461619079,c(-3.04611100523099, 37.1630294350808)
"161","Granada","1309","Pinus pinaster",48.7405902009647,33.4079015734729,59.6696147501678,2.1884760980579,100,c(-3.18034608740689, 37.1543467291909)
"162","Granada","1311","Pinus pinaster",49.4113852204904,27.3918005812052,51.9964382791428,2.05038647482814,100,c(-3.1470223405667, 37.1542575389088)
"163","Granada","1312","Pinus pinaster",49.370910820223,8.97494394712727,15.6744606702046,0.558293060256448,100,c(-3.13579402014705, 37.1540636093003)
"164","Granada","1313","Pinus pinaster",49.1109178795902,20.4836023242597,37.473121548844,1.41579326871536,100,c(-3.12472380244235, 37.1541028185349)
"165","Granada","1314","Pinus sylvestris",55.5954369466007,7.47583200318961,14.9469605103134,0.622594042260319,100,c(-3.11315793351637, 37.1540603403255)
"166","Granada","1315","Pinus pinaster",32.6590157284104,61.7192311538466,93.346966166198,2.63564458436262,100,c(-3.05736723770902, 37.1539832912379)
"167","Granada","1316","Pinus pinaster",35.7020202685069,11.043604738647,16.9720313600163,0.494035551780773,100,c(-3.04577877218639, 37.1537359364005)
"168","Granada","1318","Pinus nigra",43.9199619229146,2.94781406455714,4.99333210631082,0.170459836812807,100,c(-3.01210636355767, 37.1540235992051)
"169","Granada","1319","Pinus halepensis",72.0359914626584,3.0869474162903,7.3273550298096,0.353367301126608,100,c(-3.00128383413139, 37.1538168840683)
"170","Granada","1320","Pinus nigra",62.5608577922565,22.5077004281185,48.8966387108926,2.19907819023118,100,c(-2.98925632785928, 37.1538704892467)
"171","Granada","1321","Pinus sylvestris",26.7762646229504,38.2329634155348,52.7175942223099,1.20705256723126,67.361486544604,c(-2.97819733353628, 37.1538509424283)
"172","Granada","1324","Pinus nigra",84.2223499176472,9.62223578657706,29.3409860681212,1.64322919012868,100,c(-3.16958136197966, 37.1449427909781)
"173","Granada","1325","Pinus pinaster",45.0098950583383,46.9299503157496,80.7646873671394,2.81956142094915,100,c(-3.1585569980078, 37.1447236816488)
"174","Granada","1326","Pinus pinaster",29.7664071626779,14.4749995952004,19.5560010197252,0.423416785377062,60.5570010488895,c(-3.13609304853098, 37.1449679435373)
"175","Granada","1327","Pinus nigra",40.2822759081933,42.7396513853796,69.251720415534,2.2093390858462,96.0731290478213,c(-3.12453972441505, 37.1448634610012)
"176","Granada","1328","Pinus nigra",43.1810502150833,23.8170530631444,40.6770280550723,1.40499791599399,51.4355353252768,c(-3.11345964595471, 37.1449466985527)
"177","Granada","1329","Pinus pinaster",77.7560078148656,2.96161120598413,7.56221566851382,0.383383705210807,100,c(-3.10221052576049, 37.1449479184091)
"178","Granada","1330","Pinus pinaster",71.7653751142613,19.5150591405206,47.6622211517415,2.34559683426841,100,c(-3.09099500039496, 37.1447948033811)
"179","Granada","1332","Pinus pinaster",38.971458505899,47.3489339253032,75.3686268992764,2.33497441449776,100,c(-3.06839575941939, 37.1451345096565)
"180","Granada","1333","Pinus pinaster",26.565983744731,68.9684462412123,95.6546417837535,2.2238496285451,91.8864768556326,c(-3.03449055651946, 37.1449238695659)
"181","Granada","1334","Pinus pinaster",46.3400183467928,36.9874435744993,66.9046963021912,2.49310439397432,100,c(-3.02372564442325, 37.1449715841937)
"182","Granada","1336","Quercus ilex",34.6647007765046,12.4606654793658,19.0547362999943,0.549505901719044,100,c(-2.97770427964309, 37.1454676432469)
"183","Granada","1338","Pinus pinaster",40.0216368260462,53.1208504362624,85.2259667045617,2.6754263556916,100,c(-2.94405806743567, 37.1453934394491)
"184","Granada","1339","Pinus nigra",69.1020832028402,22.3340533577691,52.213837760629,2.48998203357166,100,c(-2.93276376734148, 37.1454686987154)
"185","Granada","1340","Pinus pinaster",73.2449580586899,23.4189946487032,55.2847061910672,2.65547596186367,92.084504452784,c(-3.18037047848073, 37.1361650582394)
"186","Granada","1341","Pinus pinaster",86.1853284558797,15.0180409430246,42.8066216349501,2.31571505766046,100,c(-3.1585276041689, 37.1360340259396)
"187","Granada","1342","Pinus nigra",31.7131583171182,85.842755369538,124.298795389373,3.20467000165295,100,c(-3.14724621571942, 37.1361297039412)
"188","Granada","1344","Quercus ilex",48.5414504760062,2.45502571191464,4.39573450565116,0.161725732811377,100,c(-3.09065814458821, 37.1361594457735)
"189","Granada","1345","Quercus ilex",25.4799236160834,5.86975675067524,7.96910568996813,0.174945744941074,38.0045665234985,c(-3.07953392526472, 37.1359240474931)
"190","Granada","1346","Pinus pinaster",40.0371371257329,20.5668839111077,33.0485217144151,1.04013648360895,61.7418112849694,c(-3.06817340674023, 37.1357688693624)
"191","Granada","1348","Pinus sylvestris",29.9061092655673,66.6883836422521,95.4987515826827,2.40086399503588,72.8080637222784,c(-3.04564433525568, 37.1361672965745)
"192","Granada","1349","Pinus pinaster",28.7715194238281,74.2160890097669,105.866877223226,2.63756568445496,82.4196020383434,c(-3.03454288254327, 37.1361800655967)
"193","Granada","1350","Pinus sylvestris",71.6927683623381,8.38547541977556,19.7600272558506,0.947879319672919,100,c(-3.01212609783452, 37.1365540613881)
"194","Granada","1351","Pinus pinaster",40.5765806217589,39.2674684838027,64.78433446387,2.12640549833894,78.2403401484188,c(-3.00100205893114, 37.13618509427)
"195","Granada","1352","Pinus nigra",57.2341630553726,12.365787548462,24.7558818584544,1.03250785916603,100,c(-2.94397432615505, 37.136793840093)
"196","Granada","1353","Pinus sylvestris",77.7656648821749,41.6766370802303,107.294238346972,5.46813343889518,100,c(-3.1807429115689, 37.1270691460401)
"197","Granada","1354","Pinus sylvestris",43.8420103860096,56.3065205159645,94.8508068889651,3.21202386441672,100,c(-3.14749912862878, 37.1272143249547)
"198","Granada","1356","Pinus sylvestris",35.4098369261048,43.5466470978031,65.570535584859,1.83532404058799,62.5283183969865,c(-3.11348869446142, 37.1267018935098)
"199","Granada","1357","Pinus sylvestris",27.0071260407809,21.0780461165934,29.7950408286793,0.726416226007157,100,c(-3.05707644635843, 37.126688389398)
"200","Granada","1358","Pinus sylvestris",32.3270606783928,47.3330046129973,70.4098527683115,1.92307067960952,64.6416188955982,c(-3.02341627676363, 37.1276553254626)
"201","Granada","1359","Pinus pinaster",42.9463806744566,44.4537910242335,74.4176988874884,2.4969923219379,50.4493168271457,c(-3.00056288868623, 37.1273060815451)
"202","Granada","1360","Pinus pinaster",69.4341630929115,14.3244987763322,33.6169717015713,1.60770607710326,54.7297329791701,c(-2.97778848432409, 37.1270606177597)
"203","Granada","1361","Pinus nigra",34.7797516494662,71.3614690542794,109.238104124927,3.15638625588733,100,c(-2.96712733047808, 37.1272384256525)
"204","Granada","1362","Pinus nigra",44.341107887224,35.282859260574,60.2939880890586,2.08426073570705,74.8659272867948,c(-2.95531794996841, 37.1272165344062)
"205","Granada","1363","Pinus sylvestris",76.0897267984396,26.5952596376455,66.839816154057,3.35371304303429,100,c(-3.15792700263606, 37.1179162314587)
"206","Granada","1364","Pinus sylvestris",48.6595858546215,73.5912086589954,134.48225510307,5.07425387033954,100,c(-3.1357066976852, 37.1177905050904)
"207","Granada","1365","Pinus pinaster",22.9803329236309,141.292433625696,187.107233868798,3.81790002025848,82.8202858441448,c(-3.0910529471812, 37.1179774350762)
"208","Granada","1366","Pinus nigra",28.9345256644524,77.3072575902407,109.57672897403,2.68912261531576,100,c(-3.08034799616576, 37.1178589735098)
"209","Granada","1367","Pinus nigra",27.9311903336187,31.0372891622206,44.9829798499469,1.16214089064386,56.7950696285976,c(-3.06816857594692, 37.1178305447891)
"210","Granada","1368","Pinus pinaster",79.1149952110352,15.2933288575311,39.4331788294235,2.01165416432437,61.3773969008661,c(-2.97816255845946, 37.1181185583615)
"211","Granada","1370","Pinus nigra",32.2996647805012,94.4203539365669,141.553127150779,3.92773110118438,88.5440069787789,c(-2.95551469145226, 37.1180581383218)
"212","Granada","1372","Pinus sylvestris",27.6432858343146,91.7446320671851,127.795137640916,3.0042087978109,100,c(-3.0681608756687, 37.1092399641396)
"213","Granada","1373","Pinus sylvestris",38.230154643025,142.908252530137,230.586270039711,7.30650145913109,92.6058559769857,c(-3.0568718760361, 37.1090566166932)
"214","Granada","1376","Pinus sylvestris",70.8432524416726,25.0585523331848,59.0282548668335,2.83080854447072,100,c(-3.02353167052747, 37.1003781643421)
"215","Granada","1390","Pinus sylvestris",64.17328529794,41.6343586443717,89.319333369077,3.97374789372544,100,c(-3.02249955980508, 37.0732633582871)
"216","Granada","1395","Pinus sylvestris",56.7756189629123,53.3427256174202,109.496337518601,4.67946765843175,100,c(-3.12373280787249, 37.0641866364298)
"217","Granada","1398","Pinus sylvestris",66.5109063272954,27.469400229866,61.7331979397251,2.85531647582159,100,c(-3.02319416654071, 37.0638071973818)
"218","Granada","1402","Pinus sylvestris",124.53913433379,1.40496200235438,6.2618763075201,0.40474285876381,100,c(-3.1249999681419, 37.054945616483)
"219","Granada","1406","Quercus ilex",28.5998493932086,44.8080152628462,63.7860892822919,1.58150616828714,77.0634702187752,c(-3.12496315237375, 37.046210753215)
"220","Granada","1408","Pinus sylvestris",137.472289861841,1.71901476060838,8.94789931605449,0.602407046287176,100,c(-3.04571429558643, 37.0465021284573)
"221","Granada","1411","Quercus ilex",28.9633831750655,35.5233586102826,49.6536490760737,1.17752420548259,100,c(-3.13463973843251, 37.0364286005305)
"222","Granada","1413","Quercus ilex",36.5056847897528,44.0853735276054,67.8695817515727,1.98201735199727,100,c(-3.15740354743631, 37.0280893365205)
"223","Granada","1414","Quercus ilex",50.469279848387,26.5414575134096,40.7789190132756,1.18645512498883,100,c(-3.13598630066249, 37.0285755458614)
"224","Granada","1416","Pinus pinaster",38.2178518973111,55.7380416539523,89.6681734569183,2.8275109835805,88.4375846714621,c(-3.15738495112564, 37.0190749767776)
"225","Granada","1419","Pinus pinaster",22.2869128482941,68.582443045403,90.8888725719354,1.85886912721103,56.8485795079447,c(-3.16926857953289, 37.009422231582)
"226","Granada","1420","Quercus ilex",13.7990123643804,51.8500897670249,59.7196519981563,0.655796852594285,93.3657987177959,c(-3.14612594312856, 37.010074974611)
"227","Granada","1421","Pinus nigra",139.479807131373,5.67842175475899,28.4978688767216,1.90162059349689,62.9052800653551,c(-3.13488551549311, 37.0100882813888)
"228","Granada","1488","Pinus pinaster",74.6276036207139,3.55871917199204,8.71400882494647,0.429607471079536,55.8103919194095,c(-3.52844183814726, 36.9997758739981)
"229","Granada","1672","Quercus ilex",38.3425299003403,32.1339445232274,50.4349303993114,1.52508215634033,100,c(-3.25791526631856, 37.0010235435089)
"230","Granada","1674","Pinus sylvestris",83.1589176845823,22.9000360923317,65.608518969666,3.55904023977785,100,c(-3.22408432115065, 37.0005964404109)
"231","Granada","1675","Pinus sylvestris",77.5517530623816,11.128526997001,28.2155156644591,1.42391572228817,100,c(-3.21362276861549, 37.0013098388953)
"232","Granada","1682","Pinus sylvestris",48.4426598295736,29.6703513696097,53.4475915672428,1.98143668313609,100,c(-3.2362849061226, 36.9917116112347)
"233","Granada","1688","Pinus sylvestris",112.036463509898,8.68055163274297,39.4409834084332,2.56336931464085,100,c(-3.38284883200882, 36.9830812320476)
"234","Granada","1689","Quercus pyrenaica",20.2247587550494,14.4966057569556,18.5317408602957,0.336261258611676,78.6057903163652,c(-3.3710599950661, 36.9827040016991)
"235","Granada","1691","Quercus ilex",35.9161745491254,40.2410460635843,61.4639558184359,1.7685758129043,85.1782986245102,c(-3.25857382954507, 36.9830834223202)
"236","Granada","1692","Pinus sylvestris",20.4682570992693,105.206405508471,135.277256780248,2.5059042726481,54.3099739874813,c(-3.40514619383874, 36.9732987229537)
"237","Granada","1695","Quercus ilex",35.0023382227415,37.9137030716188,59.2583585846751,1.77872129275469,100,c(-3.25863223472614, 36.9737803961633)
"238","Granada","1696","Pinus sylvestris",54.1176700899567,41.5917737736381,80.9420921284127,3.27919319623122,58.1210760977125,c(-3.2472749783485, 36.9742192573748)
"239","Granada","1699","Quercus pyrenaica",12.4211125464929,78.3791508074783,90.5407671615455,1.0134680295056,93.1328990403667,c(-3.4156670753377, 36.963878353506)
"240","Granada","1701","Pinus sylvestris",44.6456722195175,43.5457292134736,75.6010643945134,2.67127793175331,100,c(-3.30351585025714, 36.9651554940896)
"241","Granada","1704","Quercus pyrenaica",20.1822724295503,25.8053412494742,32.2635174762052,0.538181352227588,100,c(-3.43824474693829, 36.9557202524246)
"242","Granada","1705","Quercus pyrenaica",20.4430094911542,66.4037162575712,83.3221268239179,1.40986754719555,100,c(-3.42657419155008, 36.9556996482218)
"243","Granada","1707","Pinus sylvestris",24.3433232208872,95.2279872398689,130.83757435572,2.96746559298756,100,c(-3.38181056414322, 36.95518494339)
"244","Granada","1709","Pinus sylvestris",52.2830100737349,36.7904257087043,69.4642884266683,2.72282189316367,100,c(-3.33683863422987, 36.9557086445592)
"245","Granada","1710","Quercus ilex",24.7219365915795,33.3722542712901,44.4598941981569,0.923969993905564,100,c(-3.32574068133329, 36.9556314321997)
"246","Granada","1711","Quercus pyrenaica",53.6890845210786,43.6720128032921,84.3392223144228,3.38893412592756,77.0823919993129,c(-3.31450840069653, 36.9556617119389)
"247","Granada","1712","Quercus pyrenaica",63.5373899862849,19.3448670359931,39.3740635927984,1.66909971306711,100,c(-3.3034557846859, 36.9556814557912)
"248","Granada","1713","Quercus pyrenaica",29.1581889515545,26.6108126016876,37.3200609429083,0.892437361768386,100,c(-3.29224586898303, 36.9556915436677)
"249","Granada","1719","Quercus pyrenaica",30.1196863375887,72.3300792791372,108.26506100063,2.99458181012443,100,c(-3.42669073022277, 36.9463873189335)
"250","Granada","1721","Quercus pyrenaica",38.8518368077614,90.4862466097395,134.607191041369,3.67674536930247,100,c(-3.39294217032752, 36.9465127923607)
"251","Granada","1723","Pinus pinaster",58.76414942003,29.435033331106,58.5034171088842,2.42236531481485,70.4732788804791,c(-3.26954735342705, 36.9467578029405)
"252","Granada","1726","Pinus pinaster",125.942314491129,10.9843922911975,51.8127381171569,3.40236215216329,100,c(-3.34812314867723, 36.9375389971206)
